image,generated_caption
4838928834.jpg,an old woman is sitting at a table with empty glasses and a bottle of water.
4839471901.jpg,people are standing on the corner of a street.
4841930476.jpg,two women in dresses are standing on a sidewalk.
4843297992.jpg,people walking down the street in the rain.
484500945.jpg,a toddler is yelling with a neon green sticker on his nose.
4848505381.jpg,a woman in a white and red outfit is smiling.
4848511967.jpg,a woman in bright colors is standing in a crowd.
4850061221.jpg,a group of people sit on a bench in a park.
4850651669.jpg,a woman in a pink bikini top and colorful rollerskates is talking on her cellphone while riding
48509840.jpg,a group of men are cleaning up a street.
4852829439.jpg,an old man is standing in front of a counter.
4852920753.jpg,a man in a red hat is looking at starfish.
4854547386.jpg,two young men and a young woman walking down the street.
4854666133.jpg,a boy and a girl are standing in front of a forest.
4857558207.jpg,a woman in a hospital gown holding a newborn baby.
4857560023.jpg,a baby is being bathed by a nurse.
4857561027.jpg,a woman in a blue shirt is washing a newborn baby in a gray plastic tub.
4858277050.jpg,two men in red shirts are sitting in chairs outside of a trailer.
4859164621.jpg,people use public phone booths.
4859274169.jpg,a policeman talking to an elderly woman.
4859528111.jpg,a man in a red and blue uniform is walking with a child in a red and blue outfit.
4859794543.jpg,a group of people are standing around a booth with a large group of objects on it.
4859795801.jpg,a man is balancing a metal ball on his arm.
4860254827.jpg,a group of elderly people are sitting at a picnic table.
48614561.jpg,two babies are playing together.
4861870951.jpg,a man in a blue jacket is riding a bike.
4862041366.jpg,a little girl in a black swimsuit is standing on the beach with a shovel in her hand.
4864364180.jpg,three men sitting on a bench.
4866398248.jpg,a woman is eating a lollipop in front of a building.
4867579379.jpg,a man and a boy playing chess.
4870785283.jpg,"a lone person walks along a trail in a dry, grassy area."
4871134747.jpg,two men wearing hats walk down a path.
4872377897.jpg,a woman in a university of nottingham hoodie swings a boy in a blue and white striped shirt.
4873020182.jpg,a group of children eating together.
4873132254.jpg,two children are sitting on the floor coloring a picture.
4876249897.jpg,a woman in a blue shirt is sitting behind baskets of flowers.
4879725156.jpg,a woman in a black tank top and cargo pants is dancing.
4879964792.jpg,a man with a painted face plays the violin.
4883101538.jpg,a group of people are sitting at a table outside.
4884189834.jpg,a man on a lift is standing on a building that is being remodeled.
4885169856.jpg,two men looking at items in a store.
488561283.jpg,a crowd of people are gathered in a crowded area.
4886223475.jpg,a man in a brown jumpsuit is riding a bike past a wall.
4886651712.jpg,a man in a blue shirt and white pants skateboards past a graffiti covered wall.
4889242095.jpg,a group of people standing around a table under an umbrella.
4889818024.jpg,a man in a blue shirt is riding a bike down the street.
4890379428.jpg,a woman in a blue jacket and brown boots walks across a street.
4890458723.jpg,a woman with a backpack walks through a marketplace.
489065557.jpg,a boy in red trunks is swinging from a rope over a river.
4891622164.jpg,three women in police uniforms are standing together.
4891825066.jpg,a man in a green shirt and a man in a black shirt walk down a paved street lined with
4892689267.jpg,an elderly man in a red vest and blue hat walks down the street.
4893288272.jpg,a group of people walking down a street.
4893505289.jpg,a man mows the grass in his ride - on mower.
4893675344.jpg,people moving out of their home.
489448114.jpg,a group of young boys wearing purple shirts are sitting on a bench.
4895679704.jpg,a young girl is standing in a field holding a large white and yellow ball.
4895768618.jpg,five boys are walking down the street.
4895859008.jpg,a man in a black shirt is sitting on a chain.
4897085764.jpg,people are standing in a street in a european city.
4897359709.jpg,a woman with a short brown hair is taking a picture with her cellphone.
4897526581.jpg,a woman in a white shirt and blue jean shorts is smoking a cigarette.
4897542943.jpg,a man plays buckets and drums.
4897972073.jpg,a woman in a pink costume with gold jewelry on her face.
4898253239.jpg,a woman in a purple shirt is standing at a crosswalk.
489865145.jpg,a woman with a shaved head walks on a sidewalk.
4898695163.jpg,two men wearing hats are sitting on the side of the road with baskets on the ground.
4898846532.jpg,a man is doing a flip on a cardboard box.
4898860007.jpg,a mountain biker is jumping a hill.
4900674063.jpg,a man is getting his haircut.
4900807745.jpg,a young boy in a blue shirt and red hat is walking down the sidewalk.
4902023560.jpg,a man in a construction vehicle is operating a crane.
4902698747.jpg,a man in a black shirt and green pants is sitting on a cement slab.
4903293024.jpg,a woman in a bikini top and high heel boots is dancing on a pole.
4904155688.jpg,a man and a woman are sitting at a desk surrounded by stacks of cash.
4906044830.jpg,a man in a red shirt is walking past a store called camden interiors.
4906343557.jpg,a surfer is riding a wave.
4909669888.jpg,a woman in a black shirt and jeans talking on a cellphone.
4910372080.jpg,a group of people are looking at books in a library.
4911985199.jpg,a woman in a striped shirt is standing next to a motorcycle.
4912368137.jpg,a woman in a black and pink swimsuit is in the air.
4912589590.jpg,a man in a red and gray shirt is sitting on a motorcycle.
491321888.jpg,a man in a black bathing suit is getting out of the water in a pool.
4914053837.jpg,a group of people riding bikes in a street.
4914309980.jpg,a man with a painted face and a black hat.
4914486970.jpg,a man rides his bicycle past a grocery store.
4914567687.jpg,a man walks past eden farm groceries.
4914729306.jpg,a man in a white shirt and dirty pants is walking down the street.
491484504.jpg,two men are washing a car in front of a store.
4914902016.jpg,a shirtless man is skateboarding on a rail.
4915359289.jpg,a man in a red shirt is sitting at a table with a drink in his hand.
4916474078.jpg,a woman in a red shirt and blue shorts is standing in a subway station.
4916500021.jpg,a man with a tattoo on his left arm is skateboarding in a skate park.
491876784.jpg,a man in a white shirt is eating.
4918785879.jpg,a man in a blue shirt is standing in front of a projector screen.
4920339166.jpg,a woman sits on a concrete block structure.
4923755473.jpg,a man is walking through a stone archway.
4924368758.jpg,a walgreens store is located in a city.
4924679654.jpg,a man in a blue shirt is riding a white scooter.
4926719517.jpg,a man and a woman walking two dogs on a leash.
4926723.jpg,a man writing in a notebook with a goofy duck mug in the background.
4927312317.jpg,a naked man is sitting in the grass next to a bike.
4928593125.jpg,"three men walk down a brick street, one carrying a briefcase, the other carrying a umbrella, while"
4929903531.jpg,a young girl in a pink dress is looking at dresses on display.
4930533574.jpg,an old man is riding his bike down the street.
493109089.jpg,a young boy in a red vest plays on a red jungle gym.
4931356888.jpg,a man in a blue shirt is herding a white cow while a man in a red hat and
4931443661.jpg,a man in a striped shirt is sitting on a boat talking on a cellphone.
4932127810.jpg,a young girl holding a baby in a blue jacket.
4932212272.jpg,a group of motorcyclists are riding down the street.
4932279867.jpg,an old man is sitting on a stone step.
493274225.jpg,a shirtless man walks in front of a gas station.
493276179.jpg,a man with a tattoo on his left arm and a tattoo on his left arm is walking next to
4933452716.jpg,a man in a blue shirt is talking on a cellphone.
4933973457.jpg,a family of three is standing on a dock.
4934102103.jpg,a man and a woman are standing next to two red bikes.
4938922639.jpg,a man in a prisoner suit is taking a picture of a man in a blue shirt.
4939047718.jpg,an older man in a white shirt and black tie is walking down the street.
4939698838.jpg,two women are doing laundry in a kitchen.
4939705971.jpg,a woman with red - hair and glasses is sitting on the ground talking on a cellphone.
49402821.jpg,a little girl in pink kicks a soccer ball on a green soccer field.
4941418090.jpg,a woman is playing a guitar in front of a store window.
4941865316.jpg,two men leaning over a railing overlooking a body of water.
4942325248.jpg,a man in a red and black striped shirt is painting a mural on a wall.
4942752980.jpg,a man in a red hat and blue shirt is grilling meat and vegetables on a large outdoor grill
4945942737.jpg,a girl with long brown hair is sitting on the edge of a concrete ledge overlooking the water.
4945968199.jpg,a woman in tights and a dress is sitting in front of a fountain.
4945997009.jpg,a man in black pants and a white shirt is sleeping on a green bench in front of a building
4947321869.jpg,a woman with red - hair and a white sweater is looking to the left.
4947854878.jpg,a man in a blue shirt is walking out of a newsstand.
4947946864.jpg,people sitting outside a cafe with a dalmatian balloon in the air.
4948403203.jpg,a man is sitting on the beach reading a newspaper.
4948865477.jpg,a man in a blue jacket is sitting in a chair with a green umbrella.
4949488548.jpg,a man and a woman are walking down a long hallway.
4949723702.jpg,a little boy dressed up as a gladiator is being photographed by a woman.
4949782761.jpg,a man and a woman embracing each other in front of a wall that has the words
4950416860.jpg,a man in a canoe throwing a yellow net into the water.
4950889937.jpg,a busy asian street with a black car and people walking by.
4950966242.jpg,three young boys sit on a balcony overlooking a mountain and a tower.
4950996568.jpg,a person in a green hoodie and shorts is looking at a view from a hill.
4951841137.jpg,people walking on a boardwalk.
4951864621.jpg,a man in a colorful shirt is holding up a white fabric.
4951888006.jpg,a man in a white robe is standing in a makeshift structure.
4954782761.jpg,a woman sitting on a bench reading a book.
4955373466.jpg,two people with red mohawks sit on a bench in front of a laptop.
4958323824.jpg,a man wearing a face mask is working on a machine.
4960364637.jpg,a lifeguard in red is sitting on a platform.
4961904776.jpg,a man is dancing in front of a crowd of people.
4963468841.jpg,two men in black shirts are running a race.
496380034.jpg,two dogs are playing with a ball in the grass.
4963905246.jpg,a duck swimming in a dirty river.
4965321595.jpg,a man and a woman with backpacks are walking together.
4965595911.jpg,a woman is reaching for a statue ' s hand.
4967329396.jpg,a couple sitting on the steps of a building.
4968082098.jpg,a man is riding a scooter in a parking lot.
4969217324.jpg,a man in a black suit and top hat walks down the street.
4970493577.jpg,a man in a yellow vest is holding a flare while being photographed by a crowd.
4970590451.jpg,a man wearing a colorful helmet is driving a motorcycle.
4970965685.jpg,a woman is walking out of a building.
4971112709.jpg,a group of people in brightly colored costumes are marching in a parade.
4978789157.jpg,a man rides his bike along a wall with a dog on a leash.
4980505768.jpg,a woman in a costume is walking in a parade.
4981216283.jpg,a woman in a black dress hula hoops outside.
4981441948.jpg,a woman in a tie dye shirt is serving food to a man in a red shirt.
4982004148.jpg,a man in a chef ' s hat is standing behind a food cart.
498218245.jpg,a man in a blue jacket walks past a blue pay phone.
4985525121.jpg,a black dog with a frisbee in its mouth.
4985722941.jpg,a man in a white shirt is buying fruit from a fruit stand.
4986581949.jpg,a woman in a red shirt and black skirt sits on a subway train.
499761282.jpg,a young girl in a pink shirt is sitting in a car.
5001895034.jpg,"two women are sitting on the grass in front of a campsite, one is putting a plate into"
5006721108.jpg,a man in a blue shirt is working on a project.
5006952535.jpg,a man in a hat is standing behind a cart.
5008951909.jpg,a man in a gray hat and gray jacket is standing near a pile of wood.
501471231.jpg,a group of young people are standing outside at night.
50159774.jpg,a woman in a green dress is taking a picture of a man in a black suit.
50194396.jpg,a boy in a white jersey is doing a kickboxing move.
502213229.jpg,a group of women in bright colored clothing are dancing.
5024189799.jpg,a man in a colorful shirt and white pants is dancing with a man in a white shirt and white
5029838069.jpg,a shirtless man is singing in front of a crowd of people.
5037997306.jpg,two men are standing in a room with a water tank and a few crates.
5043444080.jpg,a boy is buried in a pile of leaves.
504413268.jpg,a man in a yellow hard hat is sitting in a manhole.
504904434.jpg,a young boy runs with a football.
505062117.jpg,a black dog is swimming with a tennis ball in his mouth.
505929313.jpg,a black dog is fetching a pink ball in the water.
5062544126.jpg,a man in a yellow safety vest is showing a model of a building to a group of people.
506367606.jpg,a woman is sitting at a counter with buckets of flowers.
506412121.jpg,a man in a black jacket is fishing in the ocean.
5067989433.jpg,a little girl in a pink jacket is looking through a telescope.
506882688.jpg,a boy in a blue shirt is standing in a fountain.
5073999931.jpg,a group of young people are sitting on the steps.
5075833333.jpg,a snowboarder is airborne while photographers take pictures.
50797765.jpg,a man in overalls and a red shirt is blowing a large bubble in front of a crowd of
5082558541.jpg,a man and a woman in a red dress are dancing together.
508264241.jpg,a man in a black shirt and white hat is swinging a golf club at a golf course.
508537723.jpg,a group of people are sitting around a conference table.
5086096800.jpg,a young boy is practicing paintballing.
5090110064.jpg,a little girl is holding a little kitten.
5092327821.jpg,a man in a red shirt is being lifted by a woman in a black suit.
509439572.jpg,two people are standing in front of a row of chairs.
510197538.jpg,a little girl in a yellow dress is running outside.
510372508.jpg,two women walking down the street.
510791586.jpg,a girl splashes in the water with a red flag in the background.
5110481785.jpg,a man is doing a flip off a sand dune.
5113641142.jpg,a child is mixing a mixture in a large mixing bowl.
5117916560.jpg,two women are sitting at a table with a laptop.
511814053.jpg,two men are talking in a room.
5121831412.jpg,four men in white suits are standing in a room with a ladder.
5126446040.jpg,"three men are standing in a kitchen, one is stirring something in a pot."
513382879.jpg,a man pushing two children in a cart.
5148259688.jpg,a young boy is sitting on a bicycle in a dusty area.
5148650470.jpg,a man in a white shirt is putting a yellow ribbon on a cow.
515264042.jpg,a skateboarder is doing a trick on a rail in a city.
5157088977.jpg,a young man is sitting on a brick sidewalk while another man is working on a project.
516201581.jpg,a man with drumsticks is standing in front of a large set of drums.
5162402452.jpg,a dirt biker is riding on a dirt track.
5163986158.jpg,a group of women dancing together.
516761840.jpg,two young girls are laughing in a garden.
5169300296.jpg,a man in a gray sweatshirt and blue gloves is standing in front of a white refrigerator and looking at
5171155099.jpg,a man in a red coat and black hat is riding a white horse.
517259709.jpg,a man in a yellow shirt grilling meat on a gas grill.
5172704250.jpg,two people in red aprons are standing behind a table with food.
518602687.jpg,a man in a tropical shirt is playing a piano and singing into a microphone.
518610439.jpg,a girl in jeans does a handstand on the beach.
518789868.jpg,a boy in a black shirt is standing in a large auditorium.
519059913.jpg,a boy in a swimming pool is upside down.
5194023863.jpg,a young girl in a yellow shirt holds a large snail.
5194404719.jpg,a man in an orange shirt is rock climbing.
5214515583.jpg,three men in leather jackets are performing on stage.
521819800.jpg,two men are sitting at a sewing machine in front of a blue door.
5218695756.jpg,a man in a striped shirt is standing over a counter with a variety of flatbreads.
522063319.jpg,two children dressed up in pirate costumes.
5220940345.jpg,a priest is standing in front of a group of children.
5222104909.jpg,a young girl in a pink dress sits in a wooden chair.
5222250994.jpg,a skier is skiing down a snowy hill.
52226520.jpg,three men are fixing a bicycle.
522516482.jpg,people walking across a crosswalk in a city at night.
5225304863.jpg,two men sleeping on a boat.
5235384370.jpg,four people are jumping in the air on a snowy mountain.
523991446.jpg,a woman in a red tank top dances with her hair in the wind.
524250975.jpg,a woman in a brown dress is standing in front of a table with laptops on it.
5250368045.jpg,a man in a blue shirt and jeans is standing in front of a blackboard.
52510204.jpg,a young man is eating a sandwich while using a computer.
525538142.jpg,two boys are wrestling in the sand.
5263339188.jpg,a man in a white shirt is talking to a group of construction workers.
5266194002.jpg,a man and two women are in the kitchen preparing food.
5267607278.jpg,a man is eating a mountain dew with a keyboard and a keyboard in the background.
526847964.jpg,a man in a suit and a woman in a blue dress are sitting in red chairs in front of
527946505.jpg,a black dog is about to jump into the water from a dock.
528645220.jpg,two young boys are running down the street.
529101401.jpg,a boy is jumping off of a dock into the water.
529328292.jpg,three women are sitting at a table in a kitchen.
529821195.jpg,a construction worker is working on a high - rise structure.
53043785.jpg,a man stands on top of an elephant in the water.
530465741.jpg,two people walking on a trail with a city in the distance.
5307401202.jpg,a woman in a dress singing into a microphone.
531119327.jpg,a man is shaving a little girl ' s hair.
5316250295.jpg,a man in a bathrobe is shaving his face in the bathroom.
5321569042.jpg,a woman with tattoos on her arms is lifting weights.
5326364547.jpg,three men are standing on a white boat in the water.
5326507136.jpg,a woman ' s hands with black nail polish on a gold table.
5333578.jpg,a young man is mixing paint in a can.
533602654.jpg,two children are laying under a sculpture.
533979933.jpg,a boy is walking out of the ocean with a paddle.
534133916.jpg,three people are standing on a dock near a river and a bridge.
5341860341.jpg,a group of people are riding in a boat on a river.
534570169.jpg,a man in a suit is walking in front of a piano.
5346389945.jpg,a woman in a blue hat and red and tan jacket is standing in a frozen waterfall.
53499099.jpg,a person is standing in front of a memorial.
5350952226.jpg,three ballerinas in a dance pose.
535399240.jpg,a boy and a girl are riding in a red ride at an amusement park.
535529555.jpg,two dogs fighting over a frisbee.
5359437945.jpg,a man in a white shirt is standing next to a red phone booth.
5367322642.jpg,a woman in a purple skirt is working in a field with a hoe.
536904709.jpg,a woman in a red shirt and jeans is sleeping on a tan couch.
5371507831.jpg,a young girl is playing in the street next to a wall.
537230454.jpg,a boy in a black shirt is standing in a field with his arms up in the air.
5374764034.jpg,a young girl is floating in a large metal bucket.
5377361.jpg,a young boy in a gray sweatsuit is kneeling on the floor playing with a game box.
5381043783.jpg,four men are playing instruments on the street.
538638526.jpg,a woman in a red shirt and white pants stands on a trashcan and holds a camera.
5387261695.jpg,a woman in a green sari is knitting a piece of cloth.
538825260.jpg,a girl in a green shirt is drinking from a water fountain.
5390483760.jpg,a car is flipped over in a snow - covered ditch.
5391728144.jpg,a group of men are working on a sailboat.
539761097.jpg,a young boy is sitting next to a sleeping sleeping dog.
5397894822.jpg,a man in a brown hat is sitting on a chair in front of a table with several items.
5402872122.jpg,a girl sliding down a hill on a red sled.
5403632578.jpg,a man in a black sweater and brown pants is playing a red bass.
5404491005.jpg,a woman and a child are sitting in the snow.
5404607703.jpg,two men boxing in a ring.
5408221986.jpg,four people in winter coats pose for a picture on a snowy mountain.
541046380.jpg,two young girls are playing in front of a store.
5419013581.jpg,a man and a child are walking in the snow.
5419038647.jpg,two people are jumping into the water with floating devices in their hands.
542714962.jpg,a shirtless man is jumping up to hit a volleyball.
544039061.jpg,a man is working on the roof of a house.
544301311.jpg,two women dressed in period clothing sit on steps and read.
544576742.jpg,a woman rock climbing.
5446415631.jpg,a man in a red jacket is walking across a snow covered log.
5447361965.jpg,a man with a backpack and three children look at a painting.
5454221964.jpg,a ballerina in a pink tutu and ballet shoes is leaning against a wall.
5506383509.jpg,four children are sitting on a bench and one of them is holding a paper and the other is holding
5507087401.jpg,a young boy is holding a toy gun.
551315867.jpg,two men are standing on a lift in the trees.
5521593413.jpg,an older man in a blue shirt leans over a railing.
5522177900.jpg,a man in a hat and sunglasses is pointing at something.
5523249598.jpg,a man in yellow pants and a red and blue life jacket is standing on a boat with a fishing
5526668006.jpg,a snowboarder is airborne in the air.
5532294954.jpg,a fireman is searching for something in the rubble.
554215758.jpg,a group of men in hard hats are standing on a platform.
5543458745.jpg,a woman in a purple dress is kissing a young girl on the cheek.
554774472.jpg,two children play in a pool.
5547783051.jpg,two men are standing on a ledge in front of a building.
555378351.jpg,a man on a bicycle is riding down the street.
5558592.jpg,three men in cowboy hats sit in a stand.
5572347874.jpg,a man in a pink shirt is climbing a rope.
558338473.jpg,two men in black shirts are practicing martial arts.
5584378669.jpg,a crowd is celebrating with confetti and lights.
5585975540.jpg,a man in a red shirt is balancing a frisbee on his finger.
5589693661.jpg,a woman is looking at candy in a store.
5590283636.jpg,a woman in scrubs is leaning over a trashcan.
5592562548.jpg,a crowd of people are cheering at a concert.
5593634551.jpg,three police officers are riding horses in the city.
559910846.jpg,a man and a woman are sitting down.
56013036.jpg,a little boy is leaning out of a bus window.
560278886.jpg,a group of young boys playing soccer.
5606758706.jpg,a woman in a white jacket is jumping in the snow with shopping bags in her hand.
5611391594.jpg,a man in an orange shirt and blue shorts is jumping through the air to hit a volleyball.
561417861.jpg,a man in a tan shirt and a white hat is standing on a city street.
5615083329.jpg,a man in a red shirt is leaning against a railing.
5615134449.jpg,a man and a woman in scottish garb dance together.
562928217.jpg,two dogs are playing with a frisbee.
5629300.jpg,a young boy is playing with a blue ball.
5643010407.jpg,a man waterskiing on a lake.
566384456.jpg,a man in a white hat is holding a fish while a child in a blue hat looks on.
566446626.jpg,a girl in a green shirt is hanging upside down from a swing.
567459261.jpg,a boy is jumping over another boy who is laying down.
567526452.jpg,workers in yellow vests work on a railroad.
5681130869.jpg,a woman and a young boy are gardening in the yard.
5687925512.jpg,a man in a blue hat washes a silver car.
5695964851.jpg,two men in yellow life jackets are riding in a speedboat.
571621280.jpg,three people in bright green shirts are working to trim a tree.
5716219952.jpg,a woman in a pink shirt is throwing a blue football.
5716554915.jpg,a woman is laying on her stomach on a mat in a room with a large window overlooking the beach
5721530415.jpg,a group of people are cooking together.
572163357.jpg,a man in a yellow shirt is using a yellow machine to cut down trees.
5726018984.jpg,a woman in a black leotard is doing a dance move.
572764040.jpg,a group of men wearing cowboy hats sit together.
5732777684.jpg,a group of school children are walking down a railroad track.
5733209542.jpg,two men are wrestling in front of a crowd.
5748015019.jpg,two boys are doing stunts on dirt bikes.
5750611277.jpg,a man in a blue shirt is fishing while a woman in a green shirt watches.
5757814392.jpg,a young boy in an orange shirt is holding flip - flops in his left hand and his left
5761090545.jpg,two men in hard hats are cutting a piece of wood.
5761877589.jpg,a nun is handing a card to a man.
5775029982.jpg,a man in a blue jacket is throwing a stick on a beach.
5781162449.jpg,two young girls holding drawings of a sloth.
5783690677.jpg,a group of men playing soccer in the water with bikes and a large ship in the background.
578679799.jpg,a boy in a baseball cap and a white shirt is running.
578910261.jpg,a woman in a blue coat is performing surgery on a patient.
579055546.jpg,a young boy is standing in the grass with a frisbee in his hand.
5791070.jpg,a man dressed as a movie character is standing in front of a desk with a gun in his hand
5791244.jpg,a policeman is standing guard next to a dog.
5806326544.jpg,a woman in a red shirt is lifting weights in a gym.
5807099586.jpg,a woman and a young girl are coloring in a coloring book.
5828028061.jpg,a man in a white shirt is playing a guitar.
5835573414.jpg,a man in suspenders and a white shirt is dancing on a stage with a band in the background
58363930.jpg,a mountain climber is ascending a snowy mountain.
5840087663.jpg,a boy in a green shirt is looking through a microscope.
5840232264.jpg,a man in a blue shirt is hitting a volleyball in a gymnasium.
5843713244.jpg,two women are dancing together.
584484388.jpg,two brown dogs are running through the grass with a red ball.
5849278148.jpg,a woman in a blue shirt is standing in front of a trolley.
5851176801.jpg,a woman in a black dress and boots is standing on a ladder.
5858406299.jpg,a blond woman with face paint is looking in a small mirror.
5893495086.jpg,a baseball player in a white uniform is throwing a ball to another player in a red uniform.
5897843552.jpg,a couple posing in front of a water fountain.
5901845159.jpg,a young boy looks at a statue of a street performer.
59032663.jpg,a man in a white shirt and a man in a blue shirt are sitting at a table with papers
5903521315.jpg,a baseball player in a blue shirt is running to first base while the catcher in a red shirt is
5921176217.jpg,a man in a black hat and a tan vest is standing in front of a deli counter with
5921231203.jpg,cheerleaders in yellow shirts and blue skirts are performing a routine.
5922945248.jpg,four people are dancing on a beach.
5925767545.jpg,a man is using a large wooden block to shape a dough
5938205507.jpg,eight women in dresses are dancing on a purple floor.
5938759184.jpg,four women in white and blue are dancing on stage.
5941812271.jpg,a baseball player throws the ball to the pitcher.
5942607581.jpg,a boy jumps off of a diving board into a pool.
594582753.jpg,a man is sweeping up debris from a house that was completely destroyed.
5954497151.jpg,three boys are playing with water guns.
596562699.jpg,a man in jeans and a leather jacket is holding a motorcycle helmet.
5968876205.jpg,a woman in a pink tutu and boxing gloves is standing in front of a chain - link fence
5972461484.jpg,a group of motorcyclists are jumping over a dirt hill.
5977277290.jpg,a woman with red - hair is singing into a microphone.
5995751546.jpg,two men are sitting on a boat in the water.
6009022127.jpg,a person on a mountain bike is riding up a steep hill.
6011731872.jpg,two women in brightly colored dresses are sitting on a bench with other people.
6021205363.jpg,a group of people are playing a game of roller derby.
6025897064.jpg,a man in a black shirt and shorts plays a guitar.
6030269328.jpg,a man and a woman are sitting at a table with wine glasses on.
6034056358.jpg,"a group of men in red vests are on a boat, while a man in a yellow hard"
6037006359.jpg,a child is mixing ingredients in a large bowl.
6053187227.jpg,a woman with red eyes is holding a fan.
6066636675.jpg,a tattooed man with a black tank top on singing into a microphone.
6074391204.jpg,two men in white lab coats are doing research in a laboratory.
608257195.jpg,a boy in a helmet is riding a bike in the woods.
6083027696.jpg,"two men in yellow jumpsuits are on a boat, while another man in a yellow jumpsuit"
6084817815.jpg,asian people dancing in the street.
6100004189.jpg,a woman in a black shirt is brushing her teeth with a little girl in a purple dress.
6104468585.jpg,a shirtless man with long red - hair and a tattoo on his chest plays a bass guitar.
6116491209.jpg,a boy in a blue helmet rides a bike.
613900608.jpg,a woman in a red tank top and black shorts is dancing in a parade.
6142033763.jpg,a man in a blue uniform jumps up in the air to reach a basketball.
615025092.jpg,two women are sitting in chairs in a room.
6156372684.jpg,two men in green jerseys are riding bicycles.
6160319160.jpg,a young man in a gray tank top and red shorts is holding a basketball.
616177206.jpg,a woman in a black dress is talking to a policeman.
617782839.jpg,a man in a black robe is shooting a bow and arrow.
6179362236.jpg,a bicyclist is racing in a race.
618292739.jpg,a woman in a field of grass and flowers.
618797331.jpg,a young boy in a blue sweater is holding up a beaded necklace.
6191516871.jpg,a group of men in blue clothing kneeling on a wooden floor.
6191733410.jpg,a group of men running a race.
6194677011.jpg,a woman in a white lab coat is looking through a microscope.
6194740899.jpg,a young boy in checkered pants is playing with a red paint in a black container.
6198220750.jpg,a surfer riding a wave.
6199134021.jpg,a football player in a yellow and gray uniform is kneeling on the field with a football in his hand
6204719881.jpg,a soccer player in a red shirt is about to kick the ball while two other players in white and
6205942474.jpg,a person is doing a trick on a bike in front of a river.
621000329.jpg,a young girl wearing a red and white striped shirt is sitting at a table with a white bowl on
6212276888.jpg,a horse and rider are crossing a river.
6214239936.jpg,a woman in a blue shirt is spinning a piece of pottery on a potter ' s wheel.
6221289833.jpg,a boy in a white and green uniform is playing soccer.
6221812098.jpg,a young boy in a white uniform is running with a soccer ball.
6222964233.jpg,a skateboarder does a trick in a skate park.
6229825733.jpg,three men in hard hats and safety gear are sitting in a boat.
6234683720.jpg,a referee is giving a wrestler a hand in the face.
623820662.jpg,an old man is sitting outside a building and is knitting.
624058168.jpg,a black and white dog jumping up in the air.
6243067522.jpg,two women in black clothing are dancing on a stage.
6244362665.jpg,a soccer game between two teams.
6254090796.jpg,a man in a beige suit is sitting at a table with children.
6258721326.jpg,a little girl is making a face with her hands.
6261030.jpg,two men are fishing in a boat on the beach at sunset.
6273115722.jpg,a camera crew is filming a scene in a theater.
6279182622.jpg,a man in a red and white uniform is riding a bike on a trail.
6279531366.jpg,a man in a blue shirt is picking grapes.
62810448.jpg,a man in a gold and black coat is riding a black and white horse.
6282161290.jpg,two men in rollerskates are fighting in a gym.
6286292296.jpg,a group of asian students are standing in front of a classroom table.
6286405785.jpg,a football player in a blue uniform is running with the ball.
6291644661.jpg,a group of men in green jerseys are playing a game of rollerskating.
6299001128.jpg,a squirrel is sitting on a branch with a brown fur ball in its mouth.
6300225700.jpg,two surgeons performing surgery.
6301591350.jpg,a young boy in a gray and black jacket stands in a garden.
6302275277.jpg,two men in white fencing suits are fighting.
6303184938.jpg,a man in a blue shirt is looking through a microscope.
6303619277.jpg,a young boy is working on a project.
6307281128.jpg,a man and a woman are dancing together.
6309597419.jpg,a baseball pitcher throws a pitch.
6315308573.jpg,a group of men riding bicycles on a road.
6315352509.jpg,a red race car speeds down the racetrack.
6325325282.jpg,three men in orange jerseys are playing field hockey.
632608471.jpg,a group of little girls dressed in white are performing a dance routine.
6337155749.jpg,a man in a green uniform is kicking a soccer ball.
6338544926.jpg,a football player in a white jersey is about to throw the ball while another player in a red jersey
6341370157.jpg,a man in a pink suit is riding a bike.
6342262756.jpg,a soccer game is played on a green field.
6342893496.jpg,a young girl in a purple jacket is sitting on a colorful chair and is reading a book.
6363541997.jpg,two men in black shirts are standing on a tennis court.
6364046387.jpg,"a woman is sitting at a desk with a laptop, a calculator, and a book."
6376797975.jpg,a man waterskiing in a lake.
6386880789.jpg,a woman in a black swimsuit and goggles is putting on her goggles.
638944671.jpg,a woman in a white outfit is playing tennis.
640053014.jpg,a person on a yellow motorcycle is in the air.
640290739.jpg,a group of people in orange shirts are pushing carts.
6422968349.jpg,a boy in a black jersey is shooting a basketball.
643684227.jpg,three people in a boat fishing.
6444539497.jpg,people are practicing curling on an ice rink.
64753988.jpg,a young boy is filling a water bottle with sand.
6476878653.jpg,two men in white karate uniforms are performing a kick in front of a crowd.
6489895665.jpg,two race cars are racing on a track.
6491272997.jpg,a man is playing an accordion on the waterfront.
6502487823.jpg,two men kickboxing in a ring.
6521767045.jpg,a man in a blue shirt is making pottery on a potter ' s wheel while another man in a
6524188417.jpg,a woman in a green shirt is looking through a telescope.
6533409787.jpg,"two women are standing in a kitchen, one is holding a rag and the other is cleaning the counter"
6534930941.jpg,a man is leaning against a brick wall and talking on his cellphone.
6545162935.jpg,a man in a yellow helmet is riding a red and yellow dirt bike.
6545713889.jpg,a man in a black jacket is lying in the snow while a woman in a black jacket is standing
65523111.jpg,five women in blue skirts are practicing archery.
